,p,b,t,d,ʈ,ɖ,c,ɟ,k,g,q,ɢ,ʔ,m,ɱ,n,ɳ,ɲ,ŋ,ɴ,ʙ,r,ʀ,ɾ,ɽ,ɸ,β,f,v,θ,ð,s,z,ʃ,ʒ,ʂ,ʐ,ç,ʝ,x,ɣ,χ,ʁ,ħ,ʕ,h,ɦ,ɬ,ɮ,ʋ,ɹ,ɻ,j,ɰ,l,ɭ,ʎ,ʟ,w,ⱱ,tʃ,dʒ,i,e,ɛ,a,ɑ,ɔ,o,u,y,ø,œ,ɶ,ɒ,ʌ,ɤ,ɯ,ɨ,ʉ,ɪ,ʏ,ʊ,ə,ɵ,ɐ,æ,ɜ,ɞ,ɘ
dʒ,0.0,0.0,0.1666,0.2271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666,0.2271,0.3083,0.4164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7499,0.7499,0.7499,0.56,0.4164,0.4164,0.56,0.7499,0.56,0.56,0.56,0.4164,0.56,0.56,0.7499,0.56,0.4164,0.7499,0.56,0.4164,0.2271,0.3083,0.2271,0.7499,0.4164,0.3083,0.4164
e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,1.0,0.56,0.56,0.4164,0.3083,0.56,0.4164,0.56,0.7499,0.4164,0.4164,0.3083,0.4164,0.7499,0.56,0.4164,0.3083,0.56,0.4164,0.3083,0.1666,0.4164,0.1666,0.56,0.3083,0.2271,0.56
ɛ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,1.0,0.56,0.4164,0.56,0.3083,0.4164,0.56,0.4164,0.7499,0.4164,0.3083,0.7499,0.4164,0.56,0.4164,0.3083,0.56,0.4164,0.3083,0.1666,0.2271,0.1666,0.56,0.56,0.4164,0.3083
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,0.56,1.0,0.7499,0.3083,0.3083,0.4164,0.56,0.4164,0.4164,0.7499,0.56,0.4164,0.4164,0.56,0.4164,0.3083,0.56,0.4164,0.3083,0.1666,0.2271,0.1666,0.56,0.3083,0.2271,0.3083
ɑ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.4164,0.7499,1.0,0.4164,0.4164,0.56,0.4164,0.3083,0.3083,0.56,0.7499,0.56,0.56,0.7499,0.56,0.4164,0.4164,0.3083,0.4164,0.2271,0.3083,0.2271,0.4164,0.4164,0.3083,0.4164
ɔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.3083,0.56,0.3083,0.4164,1.0,0.56,0.7499,0.56,0.4164,0.7499,0.4164,0.56,0.7499,0.4164,0.56,0.4164,0.56,0.3083,0.4164,0.56,0.3083,0.4164,0.3083,0.3083,0.56,0.7499,0.3083
o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.56,0.3083,0.3083,0.4164,0.56,1.0,0.7499,0.56,0.7499,0.4164,0.4164,0.56,0.4164,0.7499,0.56,0.4164,0.56,0.3083,0.4164,0.56,0.3083,0.7499,0.3083,0.3083,0.3083,0.4164,0.56
u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.4164,0.4164,0.56,0.7499,0.7499,1.0,0.7499,0.56,0.56,0.56,0.7499,0.56,0.56,0.7499,0.56,0.7499,0.4164,0.56,0.7499,0.4164,0.56,0.4164,0.4164,0.4164,0.56,0.4164
y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,0.56,0.56,0.4164,0.56,0.56,0.7499,1.0,0.7499,0.7499,0.7499,0.56,0.4164,0.4164,0.56,0.4164,0.56,0.56,0.7499,0.56,0.3083,0.4164,0.3083,0.56,0.3083,0.4164,0.3083
ø,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.7499,0.4164,0.4164,0.3083,0.4164,0.7499,0.56,0.7499,1.0,0.56,0.56,0.4164,0.3083,0.56,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.2271,0.56,0.2271,0.4164,0.2271,0.3083,0.4164
œ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.7499,0.4164,0.3083,0.7499,0.4164,0.56,0.7499,0.56,1.0,0.56,0.4164,0.56,0.3083,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.2271,0.3083,0.2271,0.4164,0.4164,0.56,0.2271
ɶ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.4164,0.7499,0.56,0.4164,0.4164,0.56,0.7499,0.56,0.56,1.0,0.7499,0.3083,0.3083,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.2271,0.3083,0.2271,0.4164,0.2271,0.3083,0.2271
ɒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.3083,0.3083,0.56,0.7499,0.56,0.56,0.7499,0.56,0.4164,0.4164,0.7499,1.0,0.4164,0.4164,0.56,0.4164,0.56,0.3083,0.4164,0.56,0.3083,0.4164,0.3083,0.3083,0.3083,0.4164,0.3083
ʌ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.7499,0.4164,0.56,0.7499,0.4164,0.56,0.4164,0.3083,0.56,0.3083,0.4164,1.0,0.56,0.7499,0.56,0.4164,0.4164,0.3083,0.4164,0.2271,0.3083,0.2271,0.4164,0.7499,0.56,0.4164
ɤ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.7499,0.4164,0.4164,0.56,0.4164,0.7499,0.56,0.4164,0.56,0.3083,0.3083,0.4164,0.56,1.0,0.7499,0.56,0.4164,0.4164,0.3083,0.4164,0.2271,0.56,0.2271,0.4164,0.4164,0.3083,0.7499
ɯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,0.56,0.56,0.7499,0.56,0.56,0.7499,0.56,0.4164,0.4164,0.4164,0.56,0.7499,0.7499,1.0,0.7499,0.56,0.56,0.4164,0.56,0.3083,0.4164,0.3083,0.56,0.56,0.4164,0.56
ɨ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.4164,0.4164,0.56,0.4164,0.4164,0.56,0.4164,0.3083,0.3083,0.3083,0.4164,0.56,0.56,0.7499,1.0,0.7499,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.4164,0.7499,0.56,0.7499
ʉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.3083,0.3083,0.3083,0.4164,0.56,0.56,0.7499,0.56,0.4164,0.4164,0.4164,0.56,0.4164,0.4164,0.56,0.7499,1.0,0.3083,0.4164,0.56,0.56,0.7499,0.56,0.3083,0.56,0.7499,0.56
ɪ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,0.56,0.56,0.4164,0.3083,0.3083,0.4164,0.56,0.4164,0.4164,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.3083,1.0,0.7499,0.56,0.1666,0.2271,0.1666,0.56,0.3083,0.2271,0.3083
ʏ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4164,0.4164,0.4164,0.3083,0.4164,0.4164,0.56,0.7499,0.56,0.56,0.56,0.4164,0.3083,0.3083,0.4164,0.3083,0.4164,0.7499,1.0,0.7499,0.2271,0.3083,0.2271,0.4164,0.2271,0.3083,0.2271
ʊ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.3083,0.3083,0.3083,0.4164,0.56,0.56,0.7499,0.56,0.4164,0.4164,0.4164,0.56,0.4164,0.4164,0.56,0.4164,0.56,0.56,0.7499,1.0,0.3083,0.4164,0.3083,0.3083,0.3083,0.4164,0.3083
ə,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271,0.1666,0.1666,0.1666,0.2271,0.3083,0.3083,0.4164,0.3083,0.2271,0.2271,0.2271,0.3083,0.2271,0.2271,0.3083,0.4164,0.56,0.1666,0.2271,0.3083,1.0,0.4164,0.56,0.1666,0.3083,0.4164,0.3083
ɵ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083,0.4164,0.2271,0.2271,0.3083,0.4164,0.7499,0.56,0.4164,0.56,0.3083,0.3083,0.4164,0.3083,0.56,0.4164,0.56,0.7499,0.2271,0.3083,0.4164,0.4164,1.0,0.4164,0.2271,0.4164,0.56,0.7499
ɐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271,0.1666,0.1666,0.1666,0.2271,0.3083,0.3083,0.4164,0.3083,0.2271,0.2271,0.2271,0.3083,0.2271,0.2271,0.3083,0.4164,0.56,0.1666,0.2271,0.3083,0.56,0.4164,1.0,0.3083,0.3083,0.4164,0.3083
æ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499,0.56,0.56,0.56,0.4164,0.3083,0.3083,0.4164,0.56,0.4164,0.4164,0.4164,0.3083,0.4164,0.4164,0.56,0.4164,0.3083,0.56,0.4164,0.3083,0.1666,0.2271,0.3083,1.0,0.3083,0.2271,0.3083
ɜ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.3083,0.56,0.3083,0.4164,0.56,0.3083,0.4164,0.3083,0.2271,0.4164,0.2271,0.3083,0.7499,0.4164,0.56,0.7499,0.56,0.3083,0.2271,0.3083,0.3083,0.4164,0.3083,0.3083,1.0,0.7499,0.56
ɞ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083,0.2271,0.4164,0.2271,0.3083,0.7499,0.4164,0.56,0.4164,0.3083,0.56,0.3083,0.4164,0.56,0.3083,0.4164,0.56,0.7499,0.2271,0.3083,0.4164,0.4164,0.56,0.4164,0.2271,0.7499,1.0,0.4164
ɘ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,0.56,0.3083,0.3083,0.4164,0.3083,0.56,0.4164,0.3083,0.4164,0.2271,0.2271,0.3083,0.4164,0.7499,0.56,0.7499,0.56,0.3083,0.2271,0.3083,0.3083,0.7499,0.3083,0.3083,0.56,0.4164,1.0
